bid_id,item_id,customer_id,bid_amount,bid_timestamp,is_winning_bid
1,101,1,15000,2024-03-01 10:15:00,0
2,101,3,16500,2024-03-01 10:22:00,0
3,101,1,17000,2024-03-01 10:30:00,1
4,102,2,8000,2024-03-01 11:05:00,0
5,102,4,9500,2024-03-01 11:20:00,1
6,103,5,3000,2024-03-05 14:10:00,0
7,103,2,3500,2024-03-05 14:15:00,1
8,104,3,12000,2024-03-08 09:30:00,0
9,104,1,13500,2024-03-08 09:45:00,1
10,105,4,4500,2024-03-10 13:20:00,0
11,105,5,5200,2024-03-10 13:35:00,1
12,106,1,45000,2024-03-12 10:00:00,0
13,106,3,48000,2024-03-12 10:30:00,1
14,107,2,2000,2024-03-15 15:10:00,1
15,108,5,500,2024-03-15 16:00:00,1


